File,Valance,Arousal,Dominance,Valance_0,Arousal_0,Dominance_0
TR_2892,5,1,5,4,3,5
TR_2894,5,4,4,4,2,5
TR_2896,8,2,5,4,3,5
TR_2890,2,4,2,3,4,4
TR_2898,5,1,5,4,3,5
TR_2342,7,6,6,4,6,5
TR_2344,5,3,2,4,6,5
TR_2346,3,3,7,4,6,5
TR_2348,4,6,2,4,6,5
TR_2352,3,7,2,5,6,5
TR_2354,2,6,3,4,6,5
TR_2356,8,6,7,4,6,5
TR_2358,3,4,3,4,6,5
TR_2364,1,7,1,4,6,5
TR_2374,5,4,5,4,6,5
TR_2378,3,7,2,4,6,5
TR_2370,7,6,6,4,6,5
TR_2380,8,7,8,4,6,5
TR_2748,5,3,6,6,5,6
TR_12,8,7,2,5,7,3
TR_1598,5,4,6,5,7,4
TR_10,3,6,2,4,7,3
TR_1600,5,3,3,5,7,4
TR_2082,3,4,4,5,5,6
TR_1572,5,3,2,5,7,4
TR_1574,2,7,1,5,7,4
TR_1576,7,8,6,5,7,4
TR_1578,6,7,2,5,7,4
TR_1582,8,7,7,7,7,4
TR_1584,6,3,3,5,7,4
TR_1588,8,7,3,5,7,4
TR_1590,3,5,5,5,7,4
TR_1592,4,7,2,5,7,4
TR_1594,7,5,8,5,7,4
